Cohort	Trait	Source	prev	h2_high	h2_low	h2_real	h2_snp	train_nCa	train_nCo	train_nCa_eff	train_nCo_eff	train_h2_snp	train_rg_test	fgrs_eacc_all	fgrs_eacc_ps	fgrs_eacc_w_all	fgrs_eacc_w_ps	pgs_r2l_cc	pgs_r2l_rand	pgs_r2l_cc_wt	fgrs_r2l_cc	fgrs_r2l_rand	fgrs_r2l_cc_wt	ps_r2l	pgs_fgrs_cor	pgs_ps_cor	pgs_fgrs_cor_rand
2012	ADHD	PGC_noiPSYCH	0.03235	0.8	0.6	0.83	0.175	4515	11702	4515	11702	0.099	1.15	0.3269	0.2951	0.2123	0.185	0.00611318	NA	NA	0.02967354	NA	NA	0.020407899	0.036	0.0227	NA
2012	ADHD	iPSYCH_Eur	0.03235	0.8	0.6	0.83	0.175	8739	15785	8739	15785	0.186	1.05	0.3269	0.2951	0.2123	0.185	0.02697575	NA	NA	0.02944028	NA	NA	0.020407899	0.126	NA	NA
2012	ADHD	iPSYCH_EurUnrel	0.03235	0.8	0.6	0.83	0.175	7017	15218	7017	15218	0.162	1.07	0.3269	0.2951	0.2123	0.185	0.02005591	0.021812	0.02096	0.0290585	0.040906	0.03887	0.020407899	0.084	0.0608	0.085385
2012	ASD	PGC_noiPSYCH	0.01965	0.8	0.6	0.73	0.113	5305	5305	5305	5305	0.282	0.582	0.2793	0.2465	0.1634	0.137	0.00286268	NA	NA	0.01065897	NA	NA	0.007365117	0.015	0.0118	NA
2012	ASD	iPSYCH_Eur	0.01965	0.8	0.6	0.73	0.113	6860	15860	6860	15860	0.094	1.07	0.2793	0.2465	0.1634	0.137	0.00796449	NA	NA	0.01072484	NA	NA	0.007365117	0.071	NA	NA
2012	ASD	iPSYCH_EurUnrel	0.01965	0.8	0.6	0.73	0.113	5726	15289	5726	15289	0.1	0.989	0.2793	0.2465	0.1634	0.137	0.00597731	0.007214	0.00607	0.01048751	0.018254	0.01608	0.007365117	0.03	0.0182	0.023903
2012	BPD	PGC_noiPSYCH	0.0158	0.6	0.4	0.5	0.103	41109	369170	50981	50981	0.173	0.848	0.271	0.2344	0.1748	0.1422	0.02672999	0.027539	0.02622	0.01630591	0.017403	0.01703	0.011956388	0.038	0.0195	0.041156
2012	MDD	PGC_noiPSYCH	0.12285	0.4	0.2	0.38	0.129	154514	313596	200617.5	200617.5	0.075	0.759	0.3744	0.3267	0.2191	0.1798	0.02186627	0.021653	0.02203	0.01933764	0.025006	0.02503	0.016439939	0.079	0.0684	0.084147
2012	SCZ	PGC_noiPSYCH	0.01745	0.8	0.6	0.68	0.164	67390	94015	73258	73258	0.219	0.4847	0.2807	0.2436	0.1874	0.1632	0.03895975	NA	NA	0.00953999	NA	NA	0.006029051	0.051		NA
2012	SCZ	PGC_noDanes	0.01745	0.8	0.6	0.68	0.164	50948	72099	58275.5	58275.5	0.256	0.4626	0.2807	0.2436	0.1874	0.1632	0.01607172	0.016628	0.01578	0.00910119	0.011087	0.01085	0.006029051	0.051	0.0373	0.050902
